"accepted_taxa","original_taxa_FlorealData","Flower.color_FlorealData","Lifeform_FlorealData","Plant.height_cm_FlorealData"
"Abies",NA,NA,NA,NA
"Abutilon",NA,NA,NA,NA
"Abutilon theophrasti",NA,NA,NA,NA
"Acacia",NA,NA,NA,NA
"Acalypha",NA,NA,NA,NA
"Acalypha ostryifolia",NA,NA,NA,NA
"Acalypha virginica",NA,NA,NA,NA
"Acer",NA,NA,NA,NA
"Acer campestre",NA,NA,NA,NA
"Acer negundo",NA,NA,NA,NA
"Acer platanoides",NA,NA,NA,NA
"Acer pseudoplatanus",NA,NA,NA,NA
"Acer rubrum",NA,NA,NA,NA
"Achillea","Achillea millefolium millefolium","Blanc","Autre",60
"Achillea collina",NA,NA,NA,NA
"Achillea ligustica",NA,NA,NA,NA
"Achillea millefolium","Achillea millefolium millefolium","Blanc","Autre",60
"Achillea nobilis",NA,NA,NA,NA
"Achillea nobilis subsp. nobilis",NA,NA,NA,NA
"Achillea odorata",NA,NA,NA,NA
"Achillea ptarmica",NA,NA,NA,NA
"Achnatherum calamagrostis",NA,NA,NA,NA
"Adonis","Adonis annua","Rose","Autre",32.5
"Adonis aestivalis",NA,NA,NA,NA
"Adonis annua","Adonis annua","Rose","Autre",32.5
"Adonis flammea",NA,NA,NA,NA
"Adoxa moschatellina",NA,NA,NA,NA
"Aegilops","Aegilops geniculata","","Autre",20
"Aegilops biuncialis",NA,NA,NA,NA
"Aegilops cylindrica",NA,NA,NA,NA
"Aegilops geniculata","Aegilops geniculata","","Autre",20
"Aegilops neglecta",NA,NA,NA,NA
"Aegilops triuncialis",NA,NA,NA,NA
"Aegonychon purpurocaeruleum",NA,NA,NA,NA
"Aegopodium podagraria",NA,NA,NA,NA
"Aesculus hippocastanum",NA,NA,NA,NA
"Aethusa",NA,NA,NA,NA
"Aethusa cynapium",NA,NA,NA,NA
"Aethusa cynapium subsp. cynapium",NA,NA,NA,NA
"Agrimonia","Agrimonia eupatoria","Jaune","Autre",75
"Agrimonia eupatoria","Agrimonia eupatoria","Jaune","Autre",75
"Agrimonia eupatoria subsp. eupatoria","Agrimonia eupatoria","Jaune","Autre",75
"Agropyron",NA,NA,NA,NA
"Agrostemma githago","Agrostemma githago","","Autre",60
"Agrostis","Agrostis","","Graminées",NA
"Agrostis canina","Agrostis canina","Rose","Graminées",NA
"Agrostis capillaris","Agrostis capillaris","Vert","Graminées",NA
"Agrostis curtisii",NA,NA,NA,NA
"Agrostis gigantea",NA,NA,NA,NA
"Agrostis stolonifera","Agrostis stolonifera","Vert","Graminées",NA
"Agrostis stolonifera var. stolonifera","Agrostis stolonifera","Vert","Graminées",NA
"Ailanthus altissima","Ailanthus altissima","","Autre",100
"Aira armoricana",NA,NA,NA,NA
"Aira caryophyllea","Aira caryophyllea","Vert","Graminées",NA
"Aira cupaniana",NA,NA,NA,NA
"Aira multiculmis","Aira multiculmis","Vert","Graminées",NA
"Ajuga chamaepitys","Ajuga chamaepitys chamaepitys","Jaune","Autre",12.5
"Ajuga genevensis","Ajuga genevensis","Bleu","Autre",25
"Ajuga iva",NA,NA,NA,NA
"Ajuga reptans","Ajuga reptans","Bleu","Autre",20
"Alcea rosea",NA,NA,NA,NA
"Alchemilla","Alchemilla","Vert","Autre",NA
"Alchemilla acutiloba","Alchemilla acutiloba","","Autre",37.5
"Alchemilla monticola",NA,NA,NA,NA
"Alchemilla reniformis",NA,NA,NA,NA
"Alchemilla xanthochlora","Alchemilla xanthochlora","Vert","Autre",47.5
"Alisma lanceolatum",NA,NA,NA,NA
"Alisma plantago-aquatica","Alisma plantago-aquatica","Blanc","Autre",65
"Alkanna matthioli",NA,NA,NA,NA
"Alkekengi officinarum",NA,NA,NA,NA
"Alliaria","Alliaria petiolata","Blanc","Autre",70
"Alliaria petiolata","Alliaria petiolata","Blanc","Autre",70
"Allium","Allium","","Autre",NA
"Allium ampeloprasum",NA,NA,NA,NA
"Allium cepa",NA,NA,NA,NA
"Allium cyrilli",NA,NA,NA,NA
"Allium neapolitanum",NA,NA,NA,NA
